ordertypeid,name,cpt_code,work_rvu,non_fac_pe_rvu,fac_pe_rvu,mp_rvu
349921,home footcare,97602,0.0,0.0,0.0,0.0
350430,gestational diabetes education referral,99215,2.8,2.42,1.28,0.21
350542,SDoH referral: Meals on Wheels program,99213,1.3,1.35,0.57,0.1
350562,urgent care center referral,99213,1.3,1.35,0.57,0.1
350563,urgent care center transfer,99281,0.25,0.06,0.06,0.03
350906,home modifications contractor referral,99213,1.3,1.35,0.57,0.1
350907,bathroom modification referral,97110,0.45,0.43,0.43,0.01
351414,craniofacial referral,99203,1.6,1.61,0.69,0.16
351632,functional assessment referral,97116,0.45,0.43,0.43,0.01
352031,behavioral health coaching referral,97156,0.0,0.0,0.0,0.0
353402,infusion referral new patient,99202,0.93,1.16,0.4,0.07
353403,infusion referral treatment change,99213,1.3,1.35,0.57,0.1
353985,facial plastic surgeon referral,99203,1.6,1.61,0.69,0.16
354340,surgical epilepsy clinic referral,99215,2.8,2.42,1.28,0.21
354650,pediatric neuropsychology referral,99215,2.8,2.42,1.28,0.21
354651,residential treatment facility referral,99213,1.3,1.35,0.57,0.1
354922,ostomy care referral,99213,1.3,1.35,0.57,0.1
355224,tai chi referral,97112,0.5,0.48,0.48,0.01
355348,balance training referral,97112,0.5,0.48,0.48,0.01
355368,driving evaluation referral,97112,0.5,0.48,0.48,0.01
355622,structured intensive multidisciplinary program referral,99487,1.81,2.13,0.75,0.13
355623,interventional pain medicine specialist referral,97602,0.0,0.0,0.0,0.0
356308,transition pediatric to adult care referral,99213,1.3,1.35,0.57,0.1
356319,telehealth video consult,99213,1.3,1.35,0.57,0.1
356392,provider/provider telehealth consult,99221,1.63,0.66,0.66,0.17
356393,provider/provider/patient telehealth consult,99213,1.3,1.35,0.57,0.1
377366,vagus nerve stimulation implant referral,97602,0.0,0.0,0.0,0.0
377437,eye care referral,99213,1.3,1.35,0.57,0.1
377741,foot/ankle referral,99213,1.3,1.35,0.57,0.1
377805,pulmonary transplant referral,99213,1.3,1.35,0.57,0.1
377941,motion/gait analysis,97602,0.0,0.0,0.0,0.0
378072,behavioral health referral,90792,4.16,1.49,0.74,0.16
378286,tracheostomy/ventilator clinic referral,99213,1.3,1.35,0.57,0.1
378288,cystic fibrosis clinic referral,99050,0.0,0.0,0.0,0.0
385921,remote care management referral,99213,1.3,1.35,0.57,0.1
386571,pre-op spine program,99215,2.8,2.42,1.28,0.21
386663,blood draw referral,99203,1.6,1.61,0.69,0.16
386818,intense cardiac rehab referral,99213,1.3,1.35,0.57,0.1
386841,endodontist referral,99202,0.93,1.16,0.4,0.07
386899,mid-level referral,99213,1.3,1.35,0.57,0.1
387009,hot tub referral,97140,0.43,0.4,0.4,0.01
387547,neuro-oncology referral,99213,1.3,1.35,0.57,0.1
387599,physical performance evaluation referral,99215,2.8,2.42,1.28,0.21
387626,oncology case management referral,99213,1.3,1.35,0.57,0.1
